event_date,metric,market_prob,model_prob,actual_prob,edge,result,profit
2025-10-31,CPI_YoY,0.9665911925739994,0.99,0.99,0.0234,WIN,23.91
2025-10-31,UNRATE,0.6364247181747046,0.7007207086611109,0.6440235914818666,0.0643,WIN,8.43
2025-10-31,FED_RATE,0.0975239712199397,0.331331557299532,0.1971287088254883,0.2338,WIN,-14.28
2025-11-30,CPI_YoY,0.99,0.99,0.99,0.0,WIN,-24.5
2025-11-30,UNRATE,0.8062108975018208,0.6410994353360929,0.6491925110283273,0.1651,WIN,11.18
2025-11-30,FED_RATE,0.1342380812892174,0.3246739890350877,0.187742209416654,0.1904,WIN,-13.53
2025-12-31,CPI_YoY,0.99,0.99,0.99,0.0,WIN,-24.5
2025-12-31,UNRATE,0.2925464842192932,0.6747188522931786,0.6749075940669226,0.3822,WIN,-0.82
2025-12-31,FED_RATE,0.0663431244719467,0.3113939731071493,0.1697752707601698,0.2451,WIN,-15.56
2026-01-31,CPI_YoY,0.99,0.99,0.99,0.0,WIN,-24.5
2026-01-31,UNRATE,0.802194433067075,0.7836291409421591,0.7167540029170923,0.0186,WIN,14.65
2026-01-31,FED_RATE,0.1064727959262067,0.309215054207216,0.1669244386709439,0.2027,WIN,-14.61
2026-02-28,CPI_YoY,0.99,0.99,0.99,0.0,WIN,-24.5
2026-02-28,UNRATE,0.8001254657208018,0.7239507447370335,0.7131802116155781,0.0762,WIN,13.1
2026-02-28,FED_RATE,0.2178260841885746,0.2905983701916002,0.1436918290093256,0.0728,WIN,-12.29
2026-03-31,CPI_YoY,0.9877023543520465,0.99,0.99,0.0023,WIN,24.44
2026-03-31,UNRATE,0.7886597565010237,0.7276122462109497,0.7160663094805093,0.061,WIN,12.91
2026-03-31,FED_RATE,0.3638698078891372,0.2937672998544485,0.1475039450634488,0.0701,WIN,-8.56
2026-04-30,CPI_YoY,0.9835837719657176,0.99,0.99,0.0064,WIN,24.34
2026-04-30,UNRATE,0.6352467462562373,0.753780711618678,0.6897899846149892,0.1185,WIN,9.73
2026-04-30,FED_RATE,0.1815591496430211,0.2756737322557201,0.1265240928392798,0.0941,WIN,-13.57
2026-05-31,CPI_YoY,0.99,0.99,0.99,0.0,WIN,-24.5
2026-05-31,UNRATE,0.5821655687775471,0.7238577016980399,0.7131069559515101,0.1417,WIN,7.65
2026-05-31,FED_RATE,0.3768411668603577,0.2691416816585977,0.1194169213263581,0.1077,WIN,-8.85
