event,release_date,market_price,model_prob,edge,result,profit
Claude 1,2023-03-14,0.25,0.258,0.83,WIN,33.33
Claude 2,2023-07-11,0.35,0.353,0.33,WIN,9.52
GPT-4,2023-03-14,0.55,0.675,12.5,WIN,204.55
Claude 3,2024-03-04,0.48,0.618,13.78,WIN,270.83
GPT-4o,2024-05-13,0.62,0.792,17.17,WIN,153.23
Claude 3.5 Sonnet,2024-06-20,0.65,0.692,4.2,WIN,64.62
Grok-2,2024-08-14,0.4,0.4,-0.0,LOSS,0.0
Claude 3.5 Haiku,2024-10-22,0.7,0.696,-0.4,LOSS,0.0
Grok-3,2025-02-17,0.45,0.49,3.98,WIN,88.52
Claude Sonnet 4,2025-05-22,0.72,0.847,12.66,WIN,97.22
Claude Opus 4,2025-05-22,0.75,0.847,9.66,WIN,83.33
GPT-5,2025-08-07,0.68,0.933,25.33,WIN,117.65
Grok-4,2025-07-09,0.5,0.594,9.38,WIN,187.67
Claude Opus 4.6,2026-02-05,0.78,0.898,11.78,WIN,70.51
Claude Sonnet 4.6,2026-02-17,0.76,0.834,7.42,WIN,78.95
Claude Opus 4.7,2026-04-16,0.8,0.798,-0.25,LOSS,0.0
Claude Opus 4.8,2026-05-28,0.82,0.804,-1.62,LOSS,0.0
